genero,title,specs,price,id,developer,anio
Action,Lost Summoner Kitty,['Single-player'],4.99,761140,Kotoshiro,2018
Strategy,Ironbound,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Free To Play,643980,Secret Level SRL,2018
Simulation,Real Pool 3D - Poolians,"['Single-player', 'Multi-player', 'Online Multi-Player', 'In-App Purchases', 'Stats']",Free to Play,670290,Poolians.com,2017
Action,弹炸人2222,['Single-player'],0.99,767400,彼岸领域,2017
Action,Battle Royale Trainer,"['Single-player', 'Steam Achievements']",3.99,772540,Trickjump Games Ltd,2018
Simulation,SNOW - All Access Basic Pass,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",9.99,774276,Poppermost Productions,2018
Simulation,SNOW - All Access Pro Pass,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",18.99,774277,Poppermost Productions,2018
Simulation,SNOW - All Access Legend Pass,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",29.99,774278,Poppermost Productions,2018
Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"['Single-player', 'Steam Achievements']",10.99,770380,Stegalosaurus Game Development,2018
Simulation,Planetarium 2 - Zen Odyssey,['Single-player'],2.99,765320,Ghulam Jewel,2018
Adventure,The first thrust of God,"['Single-player', 'Steam Achievements', 'Steam Cloud']",1.59,773650,Apillo,2018
Simulation,SNOW - Starter Pack,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",14.99,774271,Poppermost Productions,2018
Adventure,The first thrust of God - All Aircrafts,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",1.99,773690,Apillo,2018
Simulation,SNOW - Lifetime Pack,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",59.99,774279,Poppermost Productions,2018
Action,The Warrior Of Treasures,['Single-player'],0.99,768060,Tero Lunkka,2018
Racing,RC Plane 3 - Canyon Scenario,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2.99,775880,FrozenPepper,2017
Racing,RC Plane 3 - F-53B,"['Single-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support', 'Steam Leaderboards']",2.99,775881,FrozenPepper,2017
Action,DinoBlaster,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support']",4.99,653960,Casey Labrack,2018
Action,Carmageddon Max Pack,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,282010,Stainless Games Ltd,1997
Action,Half-Life,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,70,Valve,1998
Action,Fallen Mage,['Single-player'],1.99,752360,dev4play,2016
Simulation,Vaporwave Simulator,['Single-player'],0.99,766850,ETGgames,2018
Action,Underdone - Soundtrack,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",8.99,754360,The Commander,2018
Adventure,Bitcoin Clicker,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",0.99,716110,"lalalaZero,Urbanoff",2018
Strategy,Disciples II: Gallean's Return,"['Single-player', 'Multi-player', 'Co-op']",6.99,1640,Strategy First,2006
Strategy,Disciples II: Rise of the Elves,"['Single-player', 'Multi-player', 'Co-op']",6.99,1630,Strategy First,2006
Action,The Ship: Murder Party,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,2400,Outerlight Ltd.,2006
Action,Souland,['Single-player'],7.99,759920,Ultraint,2017
Action,TAROTICA VOO DOO,"['Single-player', 'Partial Controller Support']",10.99,603280,TPM.CO SOFT WORKS,2017
Strategy,Chronicles of Vinland,"['Single-player', 'Steam Achievements']",9.99,753110,Wonderbox Games,2017
Action,Orbitality,"['Single-player', 'Steam Achievements']",9.99,753100,Wonderbox Games,2017
Action,Atomic Adam: Episode 1,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",1.99,764280,Mad Unicorn Games,2017
Adventure,Mirt. Tales of the Cold Land. Chapter 2,"['Single-player', 'Downloadable Content']",0.99,758550,Emanon Studios,2017
Action,Advent Rising,"['Single-player', 'Steam Trading Cards']",9.99,3800,GlyphX Games,2005
Strategy,DEFCON,"['Single-player', 'Multi-player']",9.99,1520,Introversion Software,2006
Action,The Ship: Single Player,['Single-player'],9.99,2420,Outerlight Ltd.,2006
Simulation,Garry's Mod,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']",9.99,4000,Facepunch Studios,2006
Racing,RACE - The WTCC Game,"['Single-player', 'Multi-player']",39.99,4230,SimBin,2006
Strategy,Ghost Master®,['Single-player'],4.99,6200,Sick Puppies,2003
Strategy,Vegas: Make It Big™,['Single-player'],4.99,6210,Deepred,2006
Adventure,Dreamfall: The Longest Journey,['Single-player'],19.99,6300,Funcom,2006
Racing,FlatOut 2™,['Single-player'],9.99,2990,Bugbear Entertainment,2006
Racing,FlatOut,"['Single-player', 'Multi-player']",7.49,6220,Bugbear Entertainment,2005
Action,Lost Planet™: Extreme Condition,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,6510,"CAPCOM Co., Ltd.",2007
Strategy,CivCity: Rome,['Single-player'],9.99,3980,"FireFly Studios,Firaxis Games",2006
Action,The Longest Journey,['Single-player'],9.99,6310,Funcom,2000
Strategy,Civilization IV®: Warlords,['Single-player'],4.99,3990,Firaxis Games,2006
Strategy,Railroad Tycoon 3,"['Single-player', 'Multi-player']",9.99,7610,PopTop,2003
Strategy,Sid Meier's Railroads!,"['Single-player', 'Multi-player']",9.99,7600,"Firaxis Games,Feral Interactive (Mac)",2006
Strategy,Railroad Tycoon II Platinum,['Single-player'],4.99,7620,PopTop,1998
Strategy,X-COM: Terror From the Deep,['Single-player'],4.99,7650,"MicroProse Software, Inc",1995
Action,Tomb Raider: Anniversary,"['Single-player', 'Partial Controller Support']",8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",2007
Action,Devil May Cry® 3 Special Edition,"['Single-player', 'Partial Controller Support']",19.99,6550,"CAPCOM Co., Ltd.",2006
Action,Sam &amp; Max 101: Culture Shock,['Single-player'],19.99,8200,Telltale Games,2006
Action,Final DOOM,"['Single-player', 'Steam Cloud']",4.99,2290,id Software,1996
Action,Sam &amp; Max 102: Situation: Comedy,['Single-player'],19.99,8210,Telltale Games,2006
Action,Ultimate Doom,"['Single-player', 'Steam Cloud']",4.99,2280,id Software,1995
Action,Master Levels for Doom II,"['Single-player', 'Steam Cloud']",14.99,9160,id Software,1995
Action,DOOM II,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,2300,id Software,1994
Action,Wolfenstein 3D,"['Single-player', 'Steam Cloud']",4.99,2270,id Software,1994
Action,Return to Castle Wolfenstein,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,9010,Gray Matter Studios,2001
Action,QUAKE Mission Pack 1: Scourge of Armagon,"['Single-player', 'Multi-player', 'Steam Cloud']",2.99,9040,Ritual Entertainment,1997
Action,Spear of Destiny,"['Single-player', 'Steam Cloud']",2.99,9000,id Software,1993
Action,BloodRayne,"['Single-player', 'Steam Trading Cards']",9.99,3810,Terminal Reality,2003
Action,QUAKE Mission Pack 2: Dissolution of Eternity,"['Single-player', 'Multi-player', 'Steam Cloud']",2.99,9030,Rogue Entertainment,2007
Action,QUAKE,"['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",4.99,2310,id Software,2007
Strategy,Genesis Rising,"['Single-player', 'Multi-player']",4.99,3230,Metamorf,2007
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault","['Single-player', 'Multi-player']",12.99,9310,Relic Entertainment,2006
Action,BioShock™,"['Single-player', 'Partial Controller Support']",19.99,7670,"2K Boston,2K Australia",2007
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",12.99,4570,Relic Entertainment,2006
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Single-player', 'Multi-player', 'Steam Cloud']",12.99,4580,Relic Entertainment,2006
Strategy,Rome: Total War™ - Collection,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,4760,The Creative Assembly,2004
Strategy,Rome: Total War™ - Alexander,"['Single-player', 'Multi-player']",4.99,4770,The Creative Assembly,2006
Action,Manhunt,['Single-player'],9.99,12130,Rockstar North,2004
Racing,Midnight Club 2,"['Single-player', 'Multi-player']",9.99,12160,Rockstar San Diego,2003
Action,Max Payne 2: The Fall of Max Payne,['Single-player'],9.99,12150,Remedy Entertainment,2003
Action,Tomb Raider: Legend,"['Single-player', 'Partial Controller Support']",6.99,7000,Crystal Dynamics,2006
Action,Max Payne,['Single-player'],9.99,12140,Remedy Entertainment,2001
Strategy,Command &amp; Conquer: Red Alert 3,['Single-player'],19.99,17480,EA Los Angeles,2008
Adventure,Culpa Innata,['Single-player'],9.99,12310,Momentum Digital Media Technologies,2007
Strategy,Prison Tycoon 3™: Lockdown,['Single-player'],9.99,12510,"Gamebryo,Virtual Playground",2007
Action,Hunting Unlimited™ 2008,['Single-player'],9.99,12530,SCS Software,2007
Racing,18 Wheels of Steel: American Long Haul,['Single-player'],9.99,12520,SCS Software,2007
Action,Conflict: Denied Ops,['Single-player'],5.99,8100,Pivotal Games,2008
Action,ARMA: Combat Operations,"['Single-player', 'Multi-player', 'Includes level editor']",7.99,2780,Bohemia Interactive,2007
