genero,title,specs,price,id,developer,anio,playtime_forever
Action,Carmageddon Max Pack,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,282010,Stainless Games Ltd,1997,9319
Action,Half-Life,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,70,Valve,1998,2650946
Strategy,Disciples II: Gallean's Return,"['Single-player', 'Multi-player', 'Co-op']",6.99,1640,Strategy First,2006,27162
Strategy,Disciples II: Rise of the Elves,"['Single-player', 'Multi-player', 'Co-op']",6.99,1630,Strategy First,2006,21105
Action,The Ship: Murder Party,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,2400,Outerlight Ltd.,2006,1030947
Action,Advent Rising,"['Single-player', 'Steam Trading Cards']",9.99,3800,GlyphX Games,2005,13384
Strategy,DEFCON,"['Single-player', 'Multi-player']",9.99,1520,Introversion Software,2006,218144
Action,The Ship: Single Player,['Single-player'],9.99,2420,Outerlight Ltd.,2006,191701
Simulation,Garry's Mod,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']",9.99,4000,Facepunch Studios,2006,441871026
Racing,RACE - The WTCC Game,"['Single-player', 'Multi-player']",39.99,4230,SimBin,2006,80951
Strategy,Ghost Master®,['Single-player'],4.99,6200,Sick Puppies,2003,42986
Strategy,Vegas: Make It Big™,['Single-player'],4.99,6210,Deepred,2006,8226
Adventure,Dreamfall: The Longest Journey,['Single-player'],19.99,6300,Funcom,2006,20235
Racing,FlatOut 2™,['Single-player'],9.99,2990,Bugbear Entertainment,2006,263982
Racing,FlatOut,"['Single-player', 'Multi-player']",7.49,6220,Bugbear Entertainment,2005,42551
Action,Lost Planet™: Extreme Condition,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,6510,"CAPCOM Co., Ltd.",2007,43388
Strategy,CivCity: Rome,['Single-player'],9.99,3980,"FireFly Studios,Firaxis Games",2006,12286
Action,The Longest Journey,['Single-player'],9.99,6310,Funcom,2000,52000
Strategy,Civilization IV®: Warlords,['Single-player'],4.99,3990,Firaxis Games,2006,139336
